i,host
A1_LZ2_2_101640,Scophthalmus_maximus
A1_LZ2_2_117159,Aptinothrips_rufus_dataset
A1_LZ2_2_125349,Caloenas_nicobarica
A1_LZ2_2_191659,Todus_mexicanus
A1_LZ2_2_21880,Frankliniella_intonsa_dataset
A1_LZ2_2_91216,Solea_senegalensis
A1_YZ1_2_1_83319,Andrena_camellia_dataset
A1_YZ1_2_3503,Megalurothrips_usitatus_dataset
A1_YZ1_2_55388,Caloenas_nicobarica
B1_LD1_2_1_160847,Carpoglyphus_lactis
B1_LD1_2_1_7630,Anabrus_simplex_dataset
B1_NC_2_1_102336,Canna_indica
B1_NC_2_12_145846,Phoenix_dactylifera
B1_NC_2_12_155484,Cyrtopogon_pulchripes_dataset
B1_NC_2_12_94056,Areca_camarinensis
B1_TZ_H1_100765,Frankliniella_intonsa_dataset
B1_TZ_H1_219464,Canna_indica
B1_TZ_H1_37603,Aptinothrips_rufus_dataset
B1_TZ_H1_382326,Carpoglyphus_lactis
B1_TZ_H1_4815,Smilax_azorica
B1_TZ_H2_208915,Frankliniella_intonsa_dataset
B1_TZ_H3_440161,Erodium_cicutarium
B1_UK_H1_222469,Phoenix_dactylifera
B1_UK_H1_410091,Frankliniella_intonsa_dataset
B1_UK_H10_38149,Heterocephalus_glaber
B1_UK_H3_315784,Canna_indica
B1_UK_H5_528459,Aptinothrips_rufus_dataset
B1_UK_H7_129517,Areca_camarinensis
B1_UK_H7_166679,Nycticorax_caledonicus
B1_UK_H7_94628,Aedes_aegypti
B1_XXZ2_2_69683,Phoenix_dactylifera
B1_XZ_H2_119563,Rhinella_marina
B1_XZ_H2_145213,Tanypteryx_hageni_dataset
B1_XZ_H2_190621,Curcuma_longa
B1_XZ_H2_50910,Pergamasus_crassipes
B1_XZ_H4_96451,homo_sapiens
B1_XZ_H5_180064,Megalurothrips_usitatus_dataset
B1_XZ_H5_191816,Phoenix_dactylifera
B1_YZ_H3_54083,Erodium_cicutarium
B1_YZ1_2_1_187464,Carpinus_betulus
B1_YZ1_2_1_98168,Coptis_teeta
B2_LW2_2_176242,Succisa_pratensis
B2_LZ1_2_1_19979,Zingiber_officinale
B2_LZ1_2_1_20612,Dermacentor_albipictus
B2_LZ1_2_1_47732,Pergamasus_crassipes
B2_LZ1_2_1_84668,Megalurothrips_usitatus_dataset
B2_TZ_H1_180910,Curcuma_longa
B2_TZ_H1_285663,Adelges_abietis_dataset
B2_XZ_H1_831,Alliopsis_billbergi_dataset
B2_YZ1_2_1_282370,Rhinella_marina
B2_YZ5_2_59808,Carpoglyphus_lactis
B2_YZ6_2_91035,Periplaneta_americana_dataset
C1-DY1-2-2_30613,Bartramia_longicauda
C1-DY1-2-2_75093,Curcuma_longa
C1-DY1-2-2_85168,Calochortus_balsensis
C1-LIK-H3_270634,Sambucus_nigra
C1-TZ-H2_111795,Orthetrum_coerulescens_dataset
C1-TZ-H2_154461,Zingiber_officinale
C1-TZ-H2_51513,Alca_torda
C1-TZ-H2_58437,Rousettus_aegyptiacus
C1-UK-H1_204501,Canna_indica
C1-UK-H2_30712,Phoenix_dactylifera
C1-YZ1-H1_146348,Canna_indica
C1-YZ1-H1_160779,Erodium_cicutarium
C1-YZ1-H1_25498,Phoenix_dactylifera
C1-YZ1-H1_26997,Canna_indica
C1-YZ1-H3_110843,Phoenix_dactylifera
C1-YZ2-H2_29806,Coffea_arabica
C1-YZ3-2-1_23370,Canna_indica
C1-YZ4-2-2_67470,Nematopogon_robertella_dataset
C2-LD1-2-2_124408,Alca_torda
C2-LD1-2-2_29747,Scophthalmus_maximus
D2_HX1_2_1_215932,Frankliniella_intonsa_dataset
D3_XX1_2_175326,Canna_indica
D3_XX1_2_79084,Santalum_album
D3_XX1_2_79084,Scurrula_parasitica
D3_YZ2_2_12452,Megalurothrips_usitatus_dataset
D3_YZ2_2_130646,Scheffersomyces_segobiensis
D6_LD1_2_215274,Armillaria_mellea
D6_LZ2_2_107675,Tanypteryx_hageni_dataset
D7_LD1_2_58567,Alca_torda
D7_QZ1_2_138378,Cinnamomum_aromaticum
D7_QZ1_2_138378,Persea_americana
D7_QZ1_2_94920,Andrena_camellia_dataset
D7_QZ2_2_1_259679,Boana_sibleszi
D7_QZ2_2_1_47457,Zingiber_officinale
D7_XX1_2_46620,Areca_camarinensis
D7_XX1_2_94435,Heliornis_fulica
D7_YZ1_2_1_94182,Periplaneta_americana_dataset
D7_YZ2_2_154785,Stephania_cephalantha
G1_LD_H1_152337,Heterocephalus_glaber
G1_LD_H2_42960,Phoenix_dactylifera
G1_TZ_H1_131030,Andrena_camellia_dataset
G1_TZ_H1_93063,Curcuma_longa
G1_UK_2_1_8304,Cryptotermes_longicollis_dataset
G1_XZ1_2_125913,Santalum_album
G1_XZ1_2_125913,Scurrula_parasitica
G1_YZ1_2_2_150455,Cyprinus_carpio
GC_JX1_2_1_315168,Boa_constrictor
GC_JX2_2_1_156727,Alca_torda
GC_JX2_2_1_186187,Bartramia_longicauda
GD1_DY1_2_1_32884,Chamaelirium_luteum
GD1_DY1_2_1_36463,Calochortus_balsensis
GD1_LZ3_2_466890,Caloenas_nicobarica
GD1_LZ4_2_297702,Pampusana_beccarii
GD1_LZ4_2_319992,Canna_indica
GD1_QZ2_2_129690,Frankliniella_intonsa_dataset
GD1_QZ2_2_186150,Frankliniella_intonsa_dataset
GD2_XX1_2_1_167428,Erodium_cicutarium
GD2_XX1_2_1_3320,Antennarius_striatus
GD2_XX2_2_1_45318,Dipsacus_fullonum
GD2_YZ1_2_1_49313,Heliornis_fulica
GD2_YZ1_2_1_7348,Eurillas_virens
GL_LD2_2_1_212514,Frankliniella_intonsa_dataset
GL_X2_A1_1_14462,Acheta_domesticus_dataset
GL_X2_A1_1_38966,Acheta_domesticus_dataset
GL_X2_A5_2_89012,Erodium_cicutarium
GL_XX1_2_1_167323,Juglans_californica
GL_XX1_2_1_23085,Perca_fluviatilis
GL_XX1_2_1_23085,Percidae
GL_XX1_2_1_84030,Tiliqua_scincoides
GL_XX1_2_1_8528,Carabus_banonii_dataset
GL_XX1_2_1_8706,Boa_constrictor
GL_XX2_2_1_132998,Megalurothrips_usitatus_dataset
GL_XZ1_2_1_132300,Chrysomya_bezziana_dataset
GL_XZ1_2_1_51560,Andrena_camellia_dataset
GL_YZ1_2_1_24197,Curcuma_longa
GL_YZ1_2_1_73977,Frankliniella_intonsa_dataset
GL_YZ2_2_1_5698,Anania_coronata_dataset
GL_YZ2_2_1_90002,Pleurotus_ostreatus
GL_YZ2_2_35084,Nematopogon_robertella_dataset
GL_YZ2_2_54694,Crocanthemum_greenei
GL_YZ4_2_1_86656,Ornithodoros_gurneyi
GM_UK2_2_1_102855,Solea_senegalensis
GM_UK4_2_1_14180,Rhinella_marina
GM_UK4_2_1_42252,Nematopogon_robertella_dataset
GM_UK4_2_1_48339,Rhinella_marina
GM_XX1_2_1_164969,Quercus_engelmannii
GM_XX1_2_1_22686,Scheffersomyces_segobiensis
GM_XX1_2_1_98514,Rhinella_marina
GM_XX2_2_1_115648,Alca_torda
GM_XX2_2_1_27753,Rhinella_marina
GM_XX2_2_1_87850,Phoenix_dactylifera
GM_YZ1_2_1_168753,Frankliniella_intonsa_dataset
GM1_LD1_2_10869,Phoenix_dactylifera
GM1_LZ3_2_1_113750,Stephania_cephalantha
GM1_UK8_2_102766,Boana_sibleszi
GM1_YZ3_2_1_216242,Phoenix_dactylifera
GM1_YZ4_2_1_204210,Phoenix_dactylifera
GQ1_MZ1_2_1_22055,Carpoglyphus_lactis
GQ1_XX1_2_1_51917,Carpoglyphus_lactis
GQ2_LZ2_2_1_13722,Pampusana_beccarii
GQ2_TZ6_2_14848,Canna_indica
GQ2_UK4_2_1_19408,Pampusana_beccarii
GQ2_UK4_2_1_41650,Jacana_jacana
GW_QZ2_2_103208,Pampusana_beccarii
GW_QZ2_2_77792,Bombyx_mori_dataset
GW_QZ2_2_82679,Leiobunum_manubriatum
GW_XX1_2_160739,Canna_indica
GW_YZ1_2_45748,Cosmoglyphus_oudemansi
GW_YZ3_2_1_157175,Leiobunum_manubriatum
GW_YZ3_2_1_281484,Alca_torda
GW_YZ4_2_115555,Carpoglyphus_lactis
GW_YZ4_2_61941,Frankliniella_intonsa_dataset
GW_YZ5_2_48212,Tanypteryx_hageni_dataset
H_BN_2_4_91912,Carpoglyphus_lactis
H_NC_5_79736,Cryptotermes_longicollis_dataset
H-7-1-1_269275,Rhinella_marina
H-7-1-1_81839,Nycticorax_caledonicus
hl-SP32-W-1_56096,Erodium_cicutarium
hlSP44W1_144509,Carpoglyphus_lactis
H-NC-1_426316,Dipsacus_fullonum
H-NC-2_374441,Calochortus_balsensis
hnSP32W1_12138,Ameiva_ameiva
J2_AZ1_2_1_144935,Armillaria_mellea
J3_XZ1_2_1_170421,Solea_senegalensis
J4_YZ1_2_1_196562,Stratiolaelaps_miles
J4_YZ1_2_1884,Megalurothrips_usitatus_dataset
L1_YZ1_2_1_200284,Aptinothrips_rufus_dataset
M_11_2_3_225751,Cryptotermes_longicollis_dataset
M-51-2-1_439463,Aptinothrips_rufus_dataset
Nh12SPO4_122347,Areca_camarinensis
Nh12SPO4_25704,Zingiber_officinale
Nh12SPO4_43901,Pleurotus_ostreatus
Nh12SPO4_56110,Canna_indica
Nh12SPO4_89393,Megalurothrips_usitatus_dataset
Nh13SPW1_107679,Aedes_aegypti
Nh13SPW1_7449,Balaeniceps_rex
Nh15SPW1_101747,Anabrus_simplex_dataset
Nh25SPW1_103964,Aptinothrips_rufus_dataset
Nh25SPW1_105371,Frankliniella_intonsa_dataset
Nh25SPW1_112781,Pampusana_beccarii
Nh25SPW1_112906,Megalurothrips_usitatus_dataset
Nh25SPW1_137895,Santalum_album
Nh25SPW1_137895,Scurrula_parasitica
Nh25SPW1_146615,Curcuma_longa
Nh25SPW1_165185,Rousettus_aegyptiacus
Nh25SPW1_189312,Solea_senegalensis
Nh25SPW1_192112,Canna_indica
Nh25SPW1_199155,Rousettus_aegyptiacus
Nh25SPW1_235908,Frankliniella_intonsa_dataset
Nh25SPW1_41939,Pampusana_beccarii
